Time,Vehicle_ID,Lane,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision,Speed_DP,Acceleration_DP,Latitude_DP,Longitude_DP,Time_Gap_DP,Headway_Distance_DP
1.0,veh0,17178685#0_0,13.89,False,,,,False,2.714440921372443,1.8848273746916675,41.84596338837793,-72.57273841021922,,
2.0,veh0,17178685#0_0,13.89,False,,,,False,4.032562546854024,4.495713236048687,41.845912814127914,-72.57273939106395,,
3.0,veh0,17178685#0_0,13.89,False,,,,False,7.285250055203505,1.259182611343931,41.845907533405,-72.57265384347644,,
4.0,veh0,17178685#0_0,13.89,False,,,,False,5.087395475129597,1.3010085157948197,41.845805757685476,-72.57274442204778,,
5.0,veh0,17178685#0_0,13.89,False,,,,False,-11.228056305699283,2.1436335903508734,41.84591200865171,-72.5727421729462,,
6.0,veh0,17178685#0_0,13.89,False,,,,False,10.26872587102116,3.1028801811171434,41.84587777289437,-72.57273481016932,,
7.0,veh0,17178685#0_0,13.89,False,,,,False,20.126265624232474,4.249365651992775,41.84589241829882,-72.57273847218086,,
8.0,veh0,17178685#0_0,13.89,False,,,,False,26.815512274617504,-8.976479248154646,41.845939488859294,-72.57273850155316,,
9.0,veh0,17178685#0_0,13.89,False,,,,False,2.1282707978971303,0.5748180994633003,41.84590155543366,-72.57268922866153,,
10.0,veh0,17178685#0_0,13.89,False,,,,False,3.828885448652727,3.126535926836368,41.84593494890363,-72.57274414297102,,
11.0,veh0,17178685#0_0,13.89,False,,,,False,22.488590579858283,0.8448226801065175,41.845905082510505,-72.57272322452354,,
12.0,veh0,-17178685#0_0,13.89,False,,,,False,12.86650846732664,5.032174958647374,41.84581777148733,-72.57272910062161,,
13.0,veh0,-17178685#0_0,13.89,False,,,,False,7.359077651708503,-0.4952313579069596,41.84591443888877,-72.57279264066204,,
14.0,veh0,-17178685#0_0,13.89,False,,,,False,-1.4579077174639679,0.47964519055858545,41.8458943482179,-72.57280577368105,,
15.0,veh0,-17178685#0_0,13.89,False,,,,False,7.973355666232237,-1.085237308545402,41.845917266055146,-72.57273591515327,,
