Time,Vehicle_ID,Speed,Acceleration,Latitude,Longitude,Lane,Headway_Distance,Time_Gap,Speed_Limit,Lane_Change,From_Lane,To_Lane,Lane_Change_Reason,Collision
1.0,veh_passenger_1740853682.4176657,35.16726790750545,-1.7669222244658158,41.88827387146893,-72.55549198502882,657717094#1_0,,,27.78,False,,,,False
2.0,veh_passenger_1740853682.4176657,38.86621687396109,-0.4989352044831321,41.88826270643016,-72.55561701282898,657717094#1_0,,,27.78,False,,,,False
3.0,veh_passenger_1740853682.4176657,34.98429636781657,1.7919638623006904,41.88827111046309,-72.55550747932645,657717094#1_0,,,27.78,False,,,,False
4.0,veh_passenger_1740853682.4176657,32.290313841673196,0.9887394245743053,41.888550906978764,-72.55562791571352,657717094#1_0,,,27.78,False,,,,False
5.0,veh_passenger_1740853682.4176657,39.05409981749108,3.361467466884278,41.888398311477744,-72.55554223869999,-657717094#1_0,,,27.78,False,,,,False
6.0,veh_passenger_1740853682.4176657,41.09619837626815,0.4822462080628611,41.88832317580908,-72.5554140257606,-657717094#1_0,,,27.78,False,,,,False
7.0,veh_passenger_1740853682.4176657,24.307085293163254,3.8472249775477394,41.888331424554465,-72.55557258229474,-657717094#1_0,,,27.78,False,,,,False
8.0,veh_passenger_1740853682.4176657,16.386972127467743,1.9881970584265218,41.88832381418897,-72.55557963774709,-657717094#0_0,,,27.78,False,,,,False
9.0,veh_passenger_1740853682.4176657,24.980117578692443,-0.4939316432119085,41.8884537266713,-72.55543916382838,-657717094#0_0,,,27.78,False,,,,False
10.0,veh_passenger_1740853682.4176657,29.140290103983716,2.207897049467647,41.88820415143667,-72.55551274502125,-247979030#6_0,,,27.78,False,,,,False
11.0,veh_passenger_1740853682.4176657,34.7168953909495,-1.408112628849267,41.88830773622986,-72.55549080350787,-247979030#6_0,,,27.78,False,,,,False
12.0,veh_passenger_1740853682.4176657,33.11580180663441,1.8638728677487961,41.888301165262384,-72.55559705096718,-247979030#6_0,,,27.78,False,,,,False
13.0,veh_passenger_1740853682.4176657,33.28660848997242,0.9178929468980641,41.888345320661216,-72.5554638222717,-247979030#6_0,,,27.78,False,,,,False
14.0,veh_passenger_1740853682.4176657,24.449134151822363,-2.1575326423735532,41.8883849297317,-72.55549350586824,-247979030#6_0,,,27.78,False,,,,False
15.0,veh_passenger_1740853682.4176657,22.96459026238881,0.7331373446322687,41.888277999950205,-72.55550157819033,-247979030#6_0,,,27.78,False,,,,False
16.0,veh_passenger_1740853682.4176657,10.467928695637966,1.1389333278693812,41.88818624803661,-72.55550426689388,-247979030#5_0,,,27.78,False,,,,False
17.0,veh_passenger_1740853682.4176657,30.792882123692834,1.4942610272428283,41.88825953604905,-72.55546619266683,-247979030#5_0,,,27.78,False,,,,False
18.0,veh_passenger_1740853682.4176657,48.72552413927042,-1.2523757885501254,41.88828585583973,-72.55551976509123,-247979030#5_0,,,27.78,False,,,,False
19.0,veh_passenger_1740853682.4176657,18.876962748283404,-0.40465666163254355,41.8883531077143,-72.55562166250131,-247979030#4_0,,,27.78,False,,,,False
20.0,veh_passenger_1740853682.4176657,18.341059032311023,-4.9810002006106515,41.88828963013627,-72.55533833646236,-247979030#4_0,,,27.78,False,,,,False
